feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB9072	week	day4	-0.0833333333333404	0.0589255653162776	48	1	0.166665131987062	0.243221485114841
GGB9072	week	day8	-0.0833333333333405	0.0589255653162776	48	1	0.166665131990133	0.243221485114841
GGB9073	week	day12	-0.0833333333333477	0.0589255653153249	48	1	0.166665132024887	0.243221485114841
GGB9073	week	day4	-0.0833333333333477	0.0589255653153249	48	1	0.166665132027427	0.243221485114841
GGB9073	week	day8	-0.0833333333333477	0.0589255653153249	48	1	0.166665132029809	0.243221485114841
GGB9081	week	day12	-0.608343643714107	0.370557397086737	48	2	0.110150040841589	0.243221485114841
GGB9081	week	day4	-0.608343643714107	0.370557397086737	48	2	0.110150040850256	0.243221485114841
GGB9081	week	day8	-0.608343643714107	0.370557397086737	48	2	0.110150040842719	0.243221485114841
GGB9082	week	day12	-0.574447593140932	0.346912479820487	48	2	0.107225163147955	0.243221485114841
GGB9082	week	day4	-0.574447593140932	0.346912479820487	48	2	0.107225163149343	0.243221485114841
GGB9082	week	day8	-0.574447593140932	0.346912479820487	48	2	0.107225163153134	0.243221485114841
GGB9083	week	day12	-0.603465498880771	0.367151960355256	48	2	0.109746079151896	0.243221485114841
GGB9083	week	day4	-0.603465498880771	0.367151960355256	48	2	0.109746079153658	0.243221485114841
GGB9083	week	day8	-0.603465498880771	0.367151960355256	48	2	0.109746079159058	0.243221485114841
GGB9089	week	day12	-0.0833333333333369	0.0589255653153778	48	1	0.166665131971601	0.243221485114841
GGB9089	week	day4	-0.0833333333333369	0.0589255653153777	48	1	0.166665131974654	0.243221485114841
GGB9089	week	day8	-0.0833333333333369	0.0589255653153778	48	1	0.166665131974408	0.243221485114841
GGB9091	week	day12	-0.0833333333333239	0.0589255653146762	48	1	0.166665131987731	0.243221485114841
GGB9091	week	day4	-0.0833333333333238	0.0589255653146762	48	1	0.166665131986604	0.243221485114841
GGB9091	week	day8	-0.0833333333333239	0.0589255653146762	48	1	0.166665131987514	0.243221485114841
GGB9094	week	day12	-0.0833333333333197	0.0589255653168163	48	1	0.166665131988776	0.243221485114841
GGB9094	week	day4	-0.0833333333333197	0.0589255653168164	48	1	0.166665131989872	0.243221485114841
GGB9094	week	day8	-0.0833333333333203	0.0589255653168164	48	1	0.166665131988923	0.243221485114841
GGB9101	week	day12	-0.0833333333333475	0.0589255653156784	48	1	0.1666651320353	0.243221485114841
GGB9101	week	day4	-0.0833333333333475	0.0589255653156784	48	1	0.16666513203531	0.243221485114841
GGB9101	week	day8	-0.0833333333333476	0.0589255653156784	48	1	0.166665132036712	0.243221485114841
GGB9104	week	day12	-0.511913162820197	0.303423369489555	48	2	0.101011428479435	0.243221485114841
GGB9104	week	day4	-0.511913162820197	0.303423369489555	48	2	0.101011428482708	0.243221485114841
GGB9104	week	day8	-0.511913162820197	0.303423369489555	48	2	0.101011428477169	0.243221485114841
GGB9109	week	day12	-0.82393067351614	0.521635771899809	48	2	0.123757246675038	0.243221485114841
GGB9109	week	day4	-0.82393067351614	0.521635771899809	48	2	0.123757246677127	0.243221485114841
GGB9109	week	day8	-0.82393067351614	0.52163577189981	48	2	0.123757246671921	0.243221485114841
GGB9110	week	day12	-0.542444005240327	0.324631201294776	48	2	0.104189416635224	0.243221485114841
GGB9110	week	day4	-0.542444005240327	0.324631201294776	48	2	0.104189416640925	0.243221485114841
GGB9110	week	day8	-0.542444005240327	0.324631201294776	48	2	0.104189416635224	0.243221485114841
GGB9112	week	day12	-0.0833333333333239	0.0589255653159933	48	1	0.166665131982832	0.243221485114841
GGB9112	week	day4	-0.0833333333333239	0.0589255653159933	48	1	0.166665131977371	0.243221485114841
GGB9112	week	day8	-0.0833333333333239	0.0589255653159933	48	1	0.166665131978318	0.243221485114841
GGB9115	week	day12	-0.471580256847062	0.275497358501827	48	2	0.0963289036050961	0.243221485114841
GGB9115	week	day4	-0.471580256847062	0.275497358501826	48	2	0.0963289036012956	0.243221485114841
GGB9115	week	day8	-0.471580256847062	0.275497358501827	48	2	0.0963289036133194	0.243221485114841
GGB9117	week	day12	-0.0833333333333215	0.0589255653168061	48	1	0.166665132015684	0.243221485114841
GGB9117	week	day4	-0.0833333333333215	0.0589255653168061	48	1	0.166665132016143	0.243221485114841
GGB9117	week	day8	-0.0833333333333215	0.0589255653168061	48	1	0.166665132014749	0.243221485114841
GGB9161	week	day12	-0.0833333333333191	0.0589255653153911	48	1	0.166665132019412	0.243221485114841
GGB9161	week	day4	-0.0833333333333192	0.0589255653153912	48	1	0.166665132018006	0.243221485114841
GGB9161	week	day8	-0.0833333333333191	0.0589255653153911	48	1	0.166665132020814	0.243221485114841
GGB9184	group	R	-0.0625000000000018	0.0436772651201068	48	1	0.159672223159071	0.243221485114841
GGB9184	week	day12	-0.083333333333337	0.0582363534934757	48	1	0.159672223159045	0.243221485114841
GGB9184	week	day4	-0.083333333333337	0.0582363534934757	48	1	0.159672223159045	0.243221485114841
GGB9184	week	day8	-0.083333333333337	0.0582363534934757	48	1	0.159672223159045	0.243221485114841
GGB9200	group	R	-0.0625000000000002	0.0436772651201068	48	1	0.159672223159082	0.243221485114841
GGB9200	week	day12	-0.0833333333333355	0.0582363534934757	48	1	0.159672223159053	0.243221485114841
GGB9200	week	day4	-0.0833333333333355	0.0582363534934757	48	1	0.159672223159053	0.243221485114841
GGB9200	week	day8	-0.0833333333333355	0.0582363534934757	48	1	0.159672223159053	0.243221485114841
GGB9209	week	day12	-0.485039084106795	0.284803006613365	48	2	0.0979574927209394	0.243221485114841
GGB9209	week	day4	-0.485039084106795	0.284803006613365	48	2	0.0979574927088459	0.243221485114841
GGB9209	week	day8	-0.485039084106795	0.284803006613365	48	2	0.0979574927140211	0.243221485114841
GGB9224	week	day12	-0.620472860169192	0.379028257705669	48	2	0.111131174434876	0.243221485114841
GGB9224	week	day4	-0.620472860169192	0.379028257705669	48	2	0.111131174434893	0.243221485114841
GGB9224	week	day8	-0.620472860169192	0.379028257705669	48	2	0.111131174438184	0.243221485114841
GGB9225	week	day12	-0.083333333333338	0.0589255653138932	48	1	0.166665131973949	0.243221485114841
GGB9225	week	day4	-0.083333333333338	0.0589255653138932	48	1	0.16666513197512	0.243221485114841
GGB9225	week	day8	-0.083333333333338	0.0589255653138932	48	1	0.16666513197632	0.243221485114841
